habitacion,bano,estaciona,propiedad,precio
3,0,0,597,1485000
4,2,3,589,1950000
3,2,1,352,520000
5,3,3,729,1525000
2,1,2,292,720000
3,1,2,506,1120000
4,1,4,655,780000
4,3,6,1057,1780000
2,1,2,311,630000
2,1,1,65,406000
3,1,1,602,660000
3,1,1,530,683500
2,1,1,225,580000
3,1,4,777,1335000
3,2,2,280,800000
2,1,1,127,510000
4,2,2,695,1070000
2,1,2,115,425000
3,2,2,230,605000
3,2,2,197,705000
2,1,1,0,391000
2,1,1,0,440000
4,1,2,745,845000
3,2,2,211,743000
3,2,1,69,730000
3,1,4,625,635000
2,1,1,168,620000
2,1,1,137,447000
3,2,1,70,730000
3,1,2,606,678000
2,2,1,175,580000
3,1,2,363,712000
3,2,2,534,840000
3,1,2,724,980000
3,2,0,265,605100
3,3,1,577,880000
3,2,1,205,577000
4,1,0,797,1030000
3,1,2,181,605000
3,2,2,529,753000
2,2,1,675,857000
3,1,1,929,1500000
3,2,1,70,730000
3,1,4,697,900000
3,1,2,604,740000
4,2,3,532,931000
2,1,1,154,535600
5,3,6,592,1085000
3,1,2,533,781000
3,1,3,554,750000
2,1,1,77,421000
3,1,3,655,1405000
3,1,2,534,683000
3,1,3,540,623000
3,2,1,0,720000
3,1,1,328,588000
3,1,3,540,710000
3,1,4,559,875000
3,1,3,554,700000
2,1,1,252,640000
4,1,4,558,650000
3,2,2,171,675000
3,1,2,585,708000
4,1,4,851,965000
3,1,3,551,680000
3,1,3,602,770000
3,1,2,740,923000
4,2,4,315,693000
5,2,2,276,620000
3,1,1,531,728500
3,2,1,590,931000
3,1,4,715,988000
3,1,2,561,590000
2,1,2,691,610000
3,2,3,555,815000
4,1,2,708,970000
4,1,3,668,760000
4,3,1,252,847500
4,1,4,633,1200000
3,1,1,557,700000
3,1,1,536,625000
2,1,1,153,292000
2,1,1,0,599000
2,1,0,861,550000
3,2,2,0,995000
3,2,2,101,1205000
3,2,2,296,1939000
1,1,0,0,421500
3,1,1,217,1870000
2,1,2,0,678000
3,2,2,0,1918000
2,1,1,0,660000
3,2,1,205,2050000
2,1,2,0,700000
3,2,2,0,3625000
4,2,2,1581,3000000
8,2,2,693,1525000
3,2,1,2113,735000
2,1,1,0,825000
2,2,2,246,1586000
3,1,1,0,645000
2,2,1,144,1435000
1,1,1,0,280000
1,1,1,0,400000
2,2,2,0,1780000
2,1,1,0,592500
2,1,0,249,1210000
4,2,2,624,2801000
1,1,0,881,390000
3,2,2,405,1800000
4,1,2,495,2200000
1,1,1,0,324000
5,3,4,1491,5525000
3,1,2,169,1125000
3,3,1,301,2250000
3,2,0,336,2360000
2,2,0,207,1900000
1,1,1,0,440000
2,1,1,0,490000
3,2,1,316,2365000
2,1,2,212,1300000
3,2,2,0,732000
2,1,1,0,704000
3,1,1,0,620000
3,1,2,328,1900000
1,1,1,0,315000
1,1,1,0,450000
2,1,1,2471,710000
2,1,1,1194,872000
2,1,1,0,598000
3,1,2,186,1285000
4,3,2,421,3660000
1,1,1,0,520000
4,1,2,709,3625000
4,3,3,563,4200000
3,1,2,103,1101000
3,2,2,617,3512500
4,3,4,544,2000000
2,1,1,0,869000
5,2,2,617,2810000
3,1,1,0,565000
1,1,1,0,567000
2,0,0,0,546000
2,1,1,0,471500
3,1,2,0,455000
3,1,2,298,940000
2,1,1,0,467000
3,2,2,277,1380000
2,1,1,423,490000
4,3,1,478,1850000
3,1,2,623,1284000
3,2,2,285,971000
2,1,1,214,710000
6,3,2,1014,2425000
2,1,1,226,750000
2,1,1,269,1053000
3,1,1,417,1377000
3,1,2,350,970000
2,1,1,330,940000
2,1,1,118,751000
2,1,1,173,950000
2,1,2,228,685000
4,1,2,594,1230000
2,1,1,0,636500
3,1,0,317,910000
2,1,1,226,770000
3,2,2,229,960000
4,1,1,300,890000
2,1,1,170,965000
3,1,1,487,1440000
2,1,0,255,955000
2,1,1,0,450000
3,1,2,431,801000
3,2,2,440,1000000
3,2,2,532,1435000
1,1,1,0,390000
3,2,2,495,1425000
3,2,2,683,1340000
3,1,1,263,955000
4,2,5,559,1100000
3,2,2,308,1255000
2,1,1,0,432000
4,3,2,562,1640000
4,2,1,461,1430000
2,1,1,301,610000
3,3,1,491,940000
3,1,1,242,890000
3,2,2,617,1180000
4,2,2,597,1480000
2,1,1,387,1150000
3,1,3,575,1350000
5,2,2,521,1905000
2,2,1,146,865000
2,2,1,113,705000
2,1,1,0,442000
2,2,1,0,540000
3,1,2,506,1037500
3,2,2,318,1050000
2,1,1,0,440000
2,1,1,325,1010000
4,2,0,418,1430000
2,1,1,0,570000
2,1,1,0,690000
3,1,2,414,1291000
3,2,1,272,1130000
3,1,1,296,1135000
4,2,1,298,950000
3,2,1,0,790000
2,1,1,1957,390000
4,1,1,552,1345000
3,2,2,416,1381500
3,2,2,285,940000
3,2,1,314,995000
3,1,3,536,1050000
3,2,1,576,786000
2,1,3,252,705000
2,1,1,124,760000
3,1,3,0,487500
3,2,2,200,1000000
4,2,1,349,1110000
4,1,4,664,1300000
3,1,1,555,1060000
3,2,2,459,1410000
2,1,1,278,1305000
3,2,1,254,932500
3,1,0,216,965000
3,1,1,452,1215000
2,1,2,194,545000
4,2,4,598,1705000
2,1,1,194,970000
2,1,1,407,925000
4,3,2,753,2650000
3,2,2,599,1670000
3,2,2,203,955000
3,3,4,310,2050000
2,1,1,710,500000
2,1,2,679,1575000
3,2,2,731,1555000
3,3,2,276,1100000
3,1,2,583,1337000
9,7,4,1472,2950000
4,2,1,681,2215000
3,2,2,516,1518000
3,1,2,806,1710000
3,1,3,780,1655000
4,2,2,780,1550000
3,2,2,351,1662000
3,2,3,702,1665000
2,1,2,704,1445000
5,5,2,755,3510000
3,1,1,227,968000
3,2,2,153,900000
3,1,2,545,1500000
6,4,2,1075,2752000
3,2,2,710,1500000
4,2,4,749,1800000
3,2,3,724,1830000
3,1,1,605,1415000
2,1,1,687,1440000
4,2,2,321,1250000
3,1,2,583,1422000
5,3,4,700,1600000
4,2,3,696,1860000
3,2,2,295,1710000
4,2,2,514,1790000
4,2,2,844,1950000
3,1,2,637,1600000
3,1,2,1063,1320000
3,1,1,697,1650000
2,1,1,583,995000
3,1,1,842,1250000
3,2,2,467,1045000
4,3,2,372,1200000
2,1,2,695,1075000
2,2,2,621,1500000
3,1,2,723,1120000
2,1,2,367,700000
3,2,4,400,761000
4,2,1,724,1270000
4,2,2,526,1510000
3,1,1,792,1365000
3,2,2,803,1100000
4,3,2,724,1415000
2,1,1,216,690000
3,2,3,782,1631000
4,2,1,593,1500000
2,1,2,772,1060000
5,3,2,585,1529500
2,1,1,153,600000
2,1,1,72,535000
3,1,1,557,785000
4,2,2,766,1240000
2,1,2,192,700000
4,2,1,727,1350000
2,1,1,586,1110000
3,1,1,760,1305000
3,2,1,320,855000
3,2,2,256,900500
3,2,2,839,1200000
2,1,2,212,830000
3,1,1,593,850000
3,1,1,0,750000
3,3,1,557,851000
3,1,2,542,848000
4,2,1,350,806000
3,2,2,569,1155000
3,2,2,671,670000
4,5,4,673,1200000
2,1,2,571,636000
3,1,2,570,680000
4,3,2,789,1160000
3,1,1,529,750000
3,1,1,550,627500
3,2,2,339,880000
4,3,3,761,950000
4,3,3,1801,1600000
2,1,1,136,585000
3,1,3,574,650000
3,1,4,606,725000
3,2,1,289,665000
3,1,1,177,560500
3,1,2,649,615000
3,1,3,704,845000
3,1,2,322,585000
2,1,1,263,440000
3,1,2,766,850000
5,2,4,574,850000
3,1,1,581,705000
4,3,2,873,1100000
3,1,1,586,892500
3,1,2,588,695000
2,1,1,220,522500
4,2,2,554,680000
3,1,1,260,500000
2,1,2,158,550000
3,2,2,705,730000
3,1,3,812,875000
3,2,8,585,850000
3,1,1,597,635000
4,2,2,589,762000
2,1,1,0,411000
4,2,2,570,790000
4,1,0,569,605000
3,2,2,593,805000
4,2,4,585,890000
3,1,1,549,795000
4,2,1,582,634000
3,1,1,590,642000
3,2,3,638,863000
3,1,2,607,740000
3,2,1,244,1819000
2,1,2,0,410000
1,1,1,0,280000
2,1,2,114,1015000
2,1,1,0,502500
2,1,0,0,520000
2,1,1,0,442000
3,1,1,178,1193000
2,1,1,0,416000
2,1,1,0,820000
2,1,1,0,474000
2,1,0,159,981000
3,2,2,339,1690000
2,1,1,483,540000
3,1,1,157,1080000
1,1,0,0,500000
2,0,0,0,497500
2,1,1,659,2100000
4,2,2,715,1800000
2,1,1,208,1255000
3,2,2,206,1070000
5,3,2,715,2570000
4,2,2,744,2400000
3,3,2,651,2200000
5,5,2,651,3250000
2,1,1,122,806000
6,4,7,2051,4000000
2,2,2,0,1215000
5,3,2,600,2250000
2,1,1,206,812000
3,2,2,175,1140000
3,2,1,853,2330000
5,3,2,678,2800000
2,1,1,0,605000
3,2,2,308,1255000
3,1,1,1015,1850000
3,1,1,209,805000
3,1,1,188,700000
4,2,2,664,2130000
2,1,1,0,500000
3,2,2,699,2125000
3,2,2,577,1800000
2,1,1,0,635000
2,1,1,0,526000
1,1,1,740,390000
3,1,2,281,905000
4,3,2,453,1750000
2,1,1,121,760000
4,3,4,1148,3180000
3,2,2,219,1367000
5,3,2,678,3600000
5,3,2,642,2550000
4,3,2,241,1400000
4,2,4,935,3270000
2,1,1,115,625000
2,1,1,104,700000
3,1,4,671,1860000
4,3,2,674,2730000
5,2,2,611,2020000
2,1,1,0,460000
3,1,2,832,2250000
2,1,2,231,1053000
3,2,2,380,1800000
3,2,2,306,1472000
3,1,2,651,2120000
3,1,2,697,1910000
2,1,1,87,754000
5,5,2,671,3000000
5,6,4,739,3400000
4,2,2,752,2188000
2,1,1,213,755000
4,3,2,596,2900000
4,3,2,1007,3290000
4,3,2,674,2665000
4,2,2,583,1801000
4,2,1,685,2410000
2,1,1,0,650000
4,2,1,842,2275000
5,3,4,1468,2810000
3,2,2,190,1385000
3,1,2,739,2000000
4,2,1,665,1900000
3,2,1,706,3401000
3,2,3,613,1750000
5,4,3,1437,4000000
3,2,1,259,1100000
5,3,2,715,3020000
4,2,2,650,2950000
4,2,2,981,2450000
2,1,2,844,1912000
2,1,1,130,730000
5,7,6,0,3900000
3,2,2,404,1500000
3,1,1,607,1850000
3,1,1,672,1700000
2,0,0,1611,1010000
3,2,2,260,1315000
3,2,1,778,1500000
4,4,3,1135,3230000
2,1,1,253,1080000
7,2,0,942,1350000
4,2,2,647,1905000
5,4,2,760,3300000
4,2,2,642,1900000
3,1,2,888,2251000
4,2,2,750,2205000
3,2,1,347,1265000
3,1,3,772,2000000
4,2,2,673,1750000
3,1,2,665,1450000
4,2,2,772,2614000
4,2,3,736,1825000
4,1,4,847,2550000
4,2,1,546,1570000
3,4,2,886,3250000
4,3,3,667,1750000
3,2,1,207,1150000
3,2,2,645,1575000
4,2,2,724,1505000
4,2,2,662,1572000
3,2,2,610,1500000
4,2,1,283,1400000
5,3,2,705,1750000
4,2,2,619,1850000
3,1,2,992,1480000
4,2,2,714,1400000
4,3,2,1274,2130000
3,2,2,244,1050000
4,4,2,624,3690000
4,2,2,610,1740000
4,3,2,657,2575000
3,2,1,517,1388800
4,2,2,715,1702000
4,2,4,587,1800000
4,3,2,1070,2910000
2,1,1,694,1400000
2,2,2,204,860000
4,3,2,689,1670000
3,1,1,800,1500000
5,3,2,900,2200000
4,2,2,815,1350000
5,2,1,1138,2070000
3,1,2,464,1300000
3,2,3,763,1700000
2,1,2,854,1750000
3,1,1,542,980000
3,3,1,310,1230000
5,3,3,637,2600000
3,3,2,665,1950000
5,2,2,710,1750000
5,2,2,1002,2000000
3,1,4,605,1480000
4,3,2,1247,3000000
3,1,1,722,1818000
4,2,2,1040,2170000
4,2,2,1235,2525000
4,3,1,904,3360000
4,2,1,654,1620000
3,1,2,713,1903000
3,2,2,639,1712000
4,3,2,869,1720000
4,1,4,1042,1670000
2,1,2,467,1350000
4,2,2,667,1675000
4,3,1,362,1680000
3,1,1,809,1800000
4,3,4,707,1550000
5,5,4,1364,4000000
4,2,2,917,2900000
4,2,2,1010,2205000
3,2,2,349,1137000
3,2,3,949,2100000
2,1,4,701,1389000
2,1,1,177,685000
6,1,6,691,1900000
3,2,2,368,1335000
3,2,2,760,1600000
3,2,2,493,1830000
4,2,4,587,1900000
5,2,2,605,1500000
2,1,1,1075,735000
2,1,1,250,1040000
3,1,2,622,1520000
4,2,2,644,1250000
6,3,2,808,1900000
5,3,2,842,1875000
4,2,2,701,1530000
3,2,5,754,1700000
3,2,2,186,1238000
3,1,0,635,1320000
2,1,1,0,560000
3,1,2,657,1651000
5,3,2,900,1920000
5,2,3,845,1560000
7,2,0,942,1550000
3,2,1,207,1038000
4,3,2,737,1660000
3,2,2,458,1260000
3,1,2,75100,2000000
4,2,3,620,2155000
3,2,2,282,1225000
4,2,2,730,2150000
3,2,1,720,1770000
3,1,1,0,691500
4,2,2,939,1836000
2,1,2,202,636000
2,1,2,599,1275000
3,1,2,348,875000
3,2,2,362,895000
2,1,4,730,1550000
4,1,4,786,1420000
3,2,2,613,1425000
2,1,1,140,851000
3,2,2,299,1222500
4,2,2,793,1260000
4,3,2,628,2700000
3,2,1,418,900000
3,2,2,0,1100000
7,3,4,607,1005000
3,1,1,576,1317500
2,1,1,0,360000
3,3,2,291,1435000
3,1,2,692,1110000
3,2,2,795,2435000
3,2,1,565,1500000
4,2,2,697,1300000
2,1,1,298,855000
3,1,2,584,1125000
3,1,2,627,1135000
3,2,1,578,867000
3,2,2,610,1328000
3,2,1,526,1340000
4,3,2,271,1155000
3,1,4,758,1275000
3,2,2,0,770000
2,1,1,296,855000
3,2,2,333,1100000
2,1,1,116,650000
4,2,4,902,1815000
4,3,2,557,2255000
3,2,2,613,1470000
2,1,0,1045,420000
2,2,3,226,855000
4,1,1,567,1450000
3,2,2,590,1200000
4,2,3,855,1860000
2,1,1,227,725000
3,1,1,632,1293000
3,1,2,723,1390000
3,2,1,699,1400000
3,2,2,690,1328000
4,2,3,354,1247000
3,2,2,592,1311000
3,1,2,382,1100000
3,1,2,700,1327500
4,3,1,695,1560000
3,1,2,624,1370000
3,1,2,632,1100000
4,2,1,576,1385000
3,2,2,309,1275000
3,2,1,581,1095000
2,1,2,321,797500
2,1,1,677,725000
3,2,2,147,825000
3,2,2,0,1235000
5,3,2,772,1600000
3,1,2,694,1165000
4,2,3,591,1355000
4,2,4,736,1910000
3,2,3,568,1448000
2,1,3,336,820000
3,1,2,0,895000
4,2,1,292,1041000
4,2,2,611,1430000
2,1,2,274,910000
4,4,2,579,2520000
3,1,1,617,1350000
2,1,2,118,635000
3,2,4,587,1280000
5,2,2,567,1900000
3,1,2,676,1230000
4,2,2,384,1150000
3,2,2,570,1650000
2,2,1,123,670000
2,1,1,83,680000
4,3,3,346,1320000
4,1,2,580,1380000
6,3,2,708,1900000
2,2,2,572,1535000
3,1,5,594,1281000
3,2,2,292,1096000
5,2,2,664,1385000
3,1,1,0,517500
4,2,2,345,1245000
2,1,1,0,503000
4,4,2,579,2620000
2,1,1,192,760000
2,1,1,0,405000
2,1,2,768,1410000
3,1,2,287,760000
2,2,1,176,825000
2,1,2,281,746000
1,1,1,105,580000
5,2,2,683,1275000
3,1,2,603,1206000
3,2,2,297,1115000
4,2,3,591,1190000
4,2,1,0,1270000
3,2,2,384,1025000
3,2,1,258,740000
4,2,4,601,1960000
2,1,1,76,495000
2,1,1,145,570000
3,2,2,585,1220000
3,1,2,565,885000
0,2,2,292,830000
4,1,2,696,1137500
4,2,2,633,1100000
3,2,2,598,1040000
3,3,2,291,1210000
3,2,2,321,1160000
3,2,3,730,1215000
4,2,2,619,1200000
3,2,2,627,1050000
5,2,4,618,950000
3,2,1,0,380000
2,1,1,169,689000
3,2,2,653,1400000
3,1,4,574,965000
3,2,2,610,1338000
3,2,1,353,800000
2,1,1,265,651000
3,1,3,583,920000
4,2,2,590,1390000
2,1,1,96,495000
1,1,1,0,370000
3,1,2,578,1100000
4,2,4,653,1100000
0,1,2,818,1355000
4,1,1,636,1206000
2,1,1,0,486500
3,1,1,597,1010000
3,1,1,583,899000
4,2,2,604,1415000
4,2,2,305,1185000
4,3,1,313,1060000
2,1,2,212,716000
3,1,1,581,1550000
3,2,2,697,840000
3,1,4,612,1110000
3,1,2,584,1106000
3,2,2,295,845000
3,2,1,254,860000
3,1,1,747,1208000
3,2,2,167,921000
3,1,1,732,1165000
3,1,2,694,1270000
2,1,1,300,742500
3,2,2,578,920000
3,2,4,684,1307000
4,1,2,658,1010000
2,1,1,591,702000
2,1,1,306,813000
3,2,1,268,805000
2,1,3,660,880000
4,2,1,274,1100000
3,2,4,710,1085000
3,2,1,343,920000
3,1,4,726,1050000
3,1,2,841,1560000
4,2,2,601,800000
2,2,1,201,722000
3,1,2,588,930000
3,2,1,291,921000
3,1,2,610,1035000
3,2,1,228,720000
3,1,2,618,1185000
4,2,2,618,1352000
4,2,2,296,1005000
2,1,2,282,761000
4,2,2,659,1600000
3,1,1,721,1200000
3,2,2,421,780000
4,2,2,314,1250000
3,2,1,337,750000
3,1,4,746,1300000
5,2,2,729,1475000
4,2,2,583,1110000
2,2,1,362,835000
4,2,2,700,1690000
3,3,1,391,791000
3,1,3,780,900000
4,2,2,337,1189000
3,1,1,642,825000
3,2,2,327,1030000
3,2,2,267,970000
3,1,2,580,930000
4,2,2,640,1510000
3,2,2,518,1240000
3,2,2,213,823000
4,2,2,606,1310000
4,2,2,674,1475000
4,2,1,450,950000
4,2,1,316,1045000
3,2,1,188,750000
3,2,2,252,800000
2,1,1,154,655000
5,3,2,623,1550000
3,1,1,250,835000
4,1,3,701,1140000
3,1,2,678,1120000
3,2,2,319,1465000
3,1,1,587,910000
3,2,1,388,920000
3,2,2,230,935000
3,1,2,543,977000
3,1,2,686,1352000
4,2,2,575,1115000
3,1,1,710,780000
3,2,2,1080,1115000
3,1,2,692,1197000
2,2,2,0,485000
3,2,1,316,810000
4,1,1,582,1365000
0,0,0,456,700000
4,2,2,598,1698888
4,2,2,639,1150000
2,1,1,0,340000
3,1,2,576,1000000
3,2,1,283,965000
3,2,2,365,870000
3,1,1,764,1405000
3,2,3,629,1161000
3,1,3,676,1266000
3,2,2,194,700000
4,4,2,363,1325000
3,2,1,281,770000
3,1,6,542,1110000
1,1,1,0,380000
4,2,2,620,1175000
3,1,1,640,1200000
4,1,2,684,1370000
4,1,1,725,1433500
2,1,2,724,1630000
3,1,3,676,1360000
3,1,2,741,900000
3,2,1,210,860000
2,1,2,318,772500
3,1,1,598,1001000
2,1,1,194,715000
3,1,1,0,801000
3,2,2,208,882000
2,1,1,687,1180000
3,2,2,222,840000
2,1,1,0,710000
4,2,2,643,1040000
5,3,2,583,1550000
3,2,2,258,930000
3,1,2,406,790000
3,1,2,625,1040000
3,1,2,596,1020000
3,1,2,233,670000
3,2,2,261,800000
3,2,2,209,1120000
3,2,2,321,970000
3,2,1,300,787500
3,1,1,598,950000
3,2,1,185,886000
3,2,1,209,780000
4,2,3,625,1015000
3,2,2,395,830000
3,1,1,643,1241000
4,2,2,610,1255000
3,1,1,593,1320000
3,2,1,326,870000
4,2,2,592,1472500
2,2,2,298,640000
2,1,2,750,1160000
3,2,1,651,1306000
3,1,2,635,1291000
4,2,2,697,1620000
2,1,1,140,645000
2,1,1,195,790000
4,2,2,206,880000
3,2,3,729,1560000
3,2,2,458,1715000
3,1,2,550,1200000
3,1,0,741,1760000
1,1,1,774,288000
3,1,2,384,948000
4,1,2,715,2770000
3,1,1,590,1412000
2,2,1,0,465000
4,2,2,299,975000
3,1,1,702,1325000
3,2,1,150,750000
3,2,1,643,1400000
3,1,2,664,1500000
4,2,1,692,1600000
3,1,1,155,616000
4,2,2,729,1661000
3,2,2,780,1461400
3,1,1,211,775000
4,2,3,669,1506000
4,4,4,707,1670000
1,1,1,29,340000
3,1,2,763,4000000
3,1,1,307,928000
2,2,1,176,761000
2,1,1,151,636000
4,2,2,620,1625000
4,2,0,585,1430000
3,1,2,228,836000
2,1,1,0,400000
3,1,1,755,1170000
4,2,2,590,1670000
3,1,2,662,1351000
4,1,1,492,857000
3,2,1,238,822500
2,1,1,153,560000
2,1,1,0,420000
3,2,4,700,870000
2,1,1,566,645000
3,1,1,220,502000
3,2,1,327,495000
3,1,0,580,660000
2,1,4,749,868000
4,2,1,283,645000
3,2,1,216,652000
4,2,2,606,850000
3,1,1,471,570500
3,1,3,559,575000
4,2,2,393,882000
3,2,2,544,730000
2,1,2,551,670000
3,2,2,631,585000
2,1,2,667,826000
4,2,1,283,610000
3,1,0,557,696000
2,1,1,599,660000
3,2,1,198,579000
4,2,2,599,856500
3,1,2,587,510000
3,1,1,658,765000
2,1,1,115,475000
4,2,1,288,550000
3,2,2,4931,505000
3,1,1,158,495000
3,1,1,565,680000
3,2,1,566,565000
3,2,1,531,697500
3,2,2,663,1550000
3,1,2,366,1635000
4,2,2,436,1830000
4,3,2,836,3695000
2,1,2,0,536000
4,3,2,742,3700000
4,3,2,745,3775000
3,1,2,432,1975000
2,2,1,244,1300000
3,1,2,340,1390000
4,3,2,750,4250000
4,3,1,487,2905000
2,2,2,329,1300000
3,2,2,411,1725000
3,2,2,450,2266000
4,1,2,732,2910000
3,2,2,463,2100000
6,3,3,0,2700000
2,1,1,90,800000
3,2,2,352,1750000
4,2,3,615,1761000
3,2,3,588,2600000
3,2,2,0,1302500
3,0,0,0,1900000
4,3,1,509,2750000
2,1,2,232,892500
3,2,1,550,2145000
4,2,2,710,3171000
2,2,4,696,1910000
3,2,2,0,1850000
3,0,1,0,1067000
3,2,2,295,1865000
2,2,1,0,620000
2,1,1,611,985000
3,2,2,345,1475000
2,2,0,116,502000
2,1,1,0,700000
3,2,2,835,2400000
2,1,1,0,590000
3,2,2,0,1650000
5,2,2,655,1562500
3,3,2,398,2050000
4,3,6,454,3180000
2,1,2,363,960000
4,3,2,644,3320000
4,3,3,596,2800000
3,2,2,328,1602000
2,2,2,0,1300000
2,1,2,0,1100000
3,2,1,354,1650000
2,1,2,318,1102000
2,1,1,0,575000
2,1,0,352,1570000
3,2,2,0,1411000
5,3,2,1073,4700000
3,2,1,404,1785000
2,2,2,404,1550000
3,2,2,275,1875000
4,2,2,640,2400000
3,1,2,277,1266000
3,1,2,119,826000
5,3,2,895,2730000
2,2,1,118,900000
3,2,2,323,1962000
4,3,2,565,3295888
1,1,1,0,375000
2,1,1,0,756000
2,1,1,131,800000
5,5,2,552,2100000
3,2,1,442,1500000
2,1,1,122,905500
4,2,2,547,2375000
3,2,1,359,2275000
3,1,2,426,1385000
2,1,1,380,1601000
5,6,2,685,2020000
3,2,2,483,1762000
3,3,2,482,2450000
2,1,1,107,858000
3,2,1,313,1427000
3,3,2,311,2517500
4,2,4,569,2800000
4,3,4,1572,3700000
3,1,1,375,1410000
4,2,2,605,2475000
4,2,2,732,2700000
3,1,1,0,1005000
4,2,2,842,3900000
2,1,1,0,610000
3,1,1,138,880000
3,1,1,106,737000
2,1,2,411,1532000
3,2,0,0,1250000
3,2,1,0,835000
3,2,2,589,2320000
4,2,2,471,2000000
2,2,2,201,1230000
3,2,2,470,2375000
2,1,2,125,1037000
4,4,2,578,3050000
4,2,2,432,1630000
2,1,2,0,1701000
2,1,2,0,760000
4,2,2,848,2640000
2,1,1,0,850000
1,1,1,70,671000
4,2,2,230,2250000
3,1,1,659,2900000
3,2,2,231,1620000
3,2,0,1007,3550000
4,2,2,687,2750000
3,3,2,584,3751000
3,2,2,495,1425000
4,1,2,695,2405000
2,2,1,280,1352500
4,2,2,366,2030000
4,2,2,1045,3105000
3,2,2,279,1171000
2,2,1,267,1400000
3,2,2,266,1600000
3,2,1,549,1500000
4,2,2,682,1940000
4,2,2,617,1850000
3,1,1,329,930000
4,3,2,618,1310000
2,1,2,443,1250000
4,2,2,674,2504000
2,1,1,0,700000
2,1,3,305,750000
3,2,2,391,1302500
2,1,1,649,1445000
3,1,1,247,980000
4,2,2,597,1495000
4,3,2,594,1825000
4,2,1,994,1700000
4,3,4,824,1400000
3,2,2,312,1075000
3,2,2,686,1860000
3,2,2,315,1500000
3,2,2,158,870000
4,2,2,687,2000000
3,1,3,613,1400000
3,2,3,619,1300000
5,2,2,616,1600000
4,3,2,635,1780000
5,2,5,775,1200000
2,1,1,112,775000
3,2,2,697,1480000
5,4,2,640,2900000
3,3,2,481,1590000
5,2,2,999,2840000
4,2,2,597,1580000
4,3,2,302,1100000
2,1,2,564,1000000
5,3,2,634,2500000
4,3,4,708,1700000
3,1,1,490,1405000
3,1,2,661,1290000
5,5,3,1561,3207000
3,2,2,304,880000
4,1,1,1000,1920000
3,2,2,401,1301000
4,3,2,898,2570000
