tipo,precio,habitacione,bano,estaciona,lote
u,406000,2,1,1,65
h,660000,3,1,1,602
h,683500,3,1,1,530
u,580000,2,1,1,225
h,1335000,3,1,4,777
t,800000,3,2,2,280
u,510000,2,1,1,127
h,1070000,4,2,2,695
u,425000,2,1,2,115
u,605000,3,2,2,230
t,705000,3,2,2,197
u,391000,2,1,1,0
u,440000,2,1,1,0
h,845000,4,1,2,745
t,743000,3,2,2,211
u,730000,3,2,1,69
h,635000,3,1,4,625
u,620000,2,1,1,168
u,447000,2,1,1,137
u,730000,3,2,1,70
h,678000,3,1,2,606
u,580000,2,2,1,175
h,712000,3,1,2,363
h,840000,3,2,2,534
h,980000,3,1,2,724
t,605100,3,2,0,265
h,880000,3,3,1,577
u,577000,3,2,1,205
h,1030000,4,1,0,797
u,605000,3,1,2,181
h,753000,3,2,2,529
h,857000,2,2,1,675
h,1500000,3,1,1,929
u,730000,3,2,1,70
h,900000,3,1,4,697
h,740000,3,1,2,604
h,931000,4,2,3,532
h,535600,2,1,1,154
h,1085000,5,3,6,592
h,781000,3,1,2,533
h,750000,3,1,3,554
t,421000,2,1,1,77
h,1405000,3,1,3,655
h,683000,3,1,2,534
h,623000,3,1,3,540
h,720000,3,2,1,0
h,588000,3,1,1,328
h,710000,3,1,3,540
h,875000,3,1,4,559
h,700000,3,1,3,554
t,640000,2,1,1,252
h,650000,4,1,4,558
h,675000,3,2,2,171
h,708000,3,1,2,585
h,965000,4,1,4,851
h,680000,3,1,3,551
h,770000,3,1,3,602
h,923000,3,1,2,740
h,693000,4,2,4,315
h,620000,5,2,2,276
h,728500,3,1,1,531
h,931000,3,2,1,590
h,988000,3,1,4,715
h,590000,3,1,2,561
h,610000,2,1,2,691
h,815000,3,2,3,555
h,970000,4,1,2,708
h,760000,4,1,3,668
t,847500,4,3,1,252
h,1200000,4,1,4,633
h,700000,3,1,1,557
h,625000,3,1,1,536
u,292000,2,1,1,153
u,599000,2,1,1,0
u,550000,2,1,0,861
u,995000,3,2,2,0
t,1205000,3,2,2,101
h,1939000,3,2,2,296
u,421500,1,1,0,0
h,1870000,3,1,1,217
u,678000,2,1,2,0
t,1918000,3,2,2,0
u,660000,2,1,1,0
h,2050000,3,2,1,205
u,700000,2,1,2,0
u,3625000,3,2,2,0
h,3000000,4,2,2,1581
h,1525000,8,2,2,693
u,735000,3,2,1,2113
u,825000,2,1,1,0
t,1586000,2,2,2,246
u,645000,3,1,1,0
h,1435000,2,2,1,144
u,280000,1,1,1,0
u,400000,1,1,1,0
h,1780000,2,2,2,0
u,592500,2,1,1,0
h,1210000,2,1,0,249
h,2801000,4,2,2,624
u,390000,1,1,0,881
h,1800000,3,2,2,405
h,2200000,4,1,2,495
u,324000,1,1,1,0
h,5525000,5,3,4,1491
h,1125000,3,1,2,169
h,2250000,3,3,1,301
h,2360000,3,2,0,336
h,1900000,2,2,0,207
u,440000,1,1,1,0
u,490000,2,1,1,0
h,2365000,3,2,1,316
h,1300000,2,1,2,212
u,732000,3,2,2,0
u,704000,2,1,1,0
u,620000,3,1,1,0
h,1900000,3,1,2,328
u,315000,1,1,1,0
u,450000,1,1,1,0
u,710000,2,1,1,2471
u,872000,2,1,1,1194
u,598000,2,1,1,0
h,1285000,3,1,2,186
h,3660000,4,3,2,421
u,520000,1,1,1,0
h,3625000,4,1,2,709
h,4200000,4,3,3,563
t,1101000,3,1,2,103
h,3512500,3,2,2,617
h,2000000,4,3,4,544
u,869000,2,1,1,0
h,2810000,5,2,2,617
u,565000,3,1,1,0
u,567000,1,1,1,0
u,546000,2,0,0,0
u,471500,2,1,1,0
u,455000,3,1,2,0
h,940000,3,1,2,298
u,467000,2,1,1,0
h,1380000,3,2,2,277
u,490000,2,1,1,423
h,1850000,4,3,1,478
h,1284000,3,1,2,623
h,971000,3,2,2,285
h,710000,2,1,1,214
h,2425000,6,3,2,1014
h,750000,2,1,1,226
h,1053000,2,1,1,269
h,1377000,3,1,1,417
h,970000,3,1,2,350
h,940000,2,1,1,330
h,751000,2,1,1,118
h,950000,2,1,1,173
u,685000,2,1,2,228
h,1230000,4,1,2,594
h,636500,2,1,1,0
h,910000,3,1,0,317
h,770000,2,1,1,226
h,960000,3,2,2,229
h,890000,4,1,1,300
h,965000,2,1,1,170
h,1440000,3,1,1,487
h,955000,2,1,0,255
u,450000,2,1,1,0
h,801000,3,1,2,431
h,1000000,3,2,2,440
h,1435000,3,2,2,532
u,390000,1,1,1,0
h,1425000,3,2,2,495
h,1340000,3,2,2,683
h,955000,3,1,1,263
h,1100000,4,2,5,559
h,1255000,3,2,2,308
u,432000,2,1,1,0
h,1640000,4,3,2,562
h,1430000,4,2,1,461
u,610000,2,1,1,301
h,940000,3,3,1,491
h,890000,3,1,1,242
h,1180000,3,2,2,617
h,1480000,4,2,2,597
h,1150000,2,1,1,387
h,1350000,3,1,3,575
h,1905000,5,2,2,521
t,865000,2,2,1,146
t,705000,2,2,1,113
u,442000,2,1,1,0
u,540000,2,2,1,0
h,1037500,3,1,2,506
t,1050000,3,2,2,318
u,440000,2,1,1,0
h,1010000,2,1,1,325
h,1430000,4,2,0,418
u,570000,2,1,1,0
u,690000,2,1,1,0
h,1291000,3,1,2,414
h,1130000,3,2,1,272
h,1135000,3,1,1,296
h,950000,4,2,1,298
u,790000,3,2,1,0
u,390000,2,1,1,1957
h,1345000,4,1,1,552
h,1381500,3,2,2,416
h,940000,3,2,2,285
h,995000,3,2,1,314
h,1050000,3,1,3,536
h,786000,3,2,1,576
h,705000,2,1,3,252
h,760000,2,1,1,124
u,487500,3,1,3,0
t,1000000,3,2,2,200
h,1110000,4,2,1,349
h,1300000,4,1,4,664
h,1060000,3,1,1,555
h,1410000,3,2,2,459
h,1305000,2,1,1,278
h,932500,3,2,1,254
h,965000,3,1,0,216
h,1215000,3,1,1,452
u,545000,2,1,2,194
h,1705000,4,2,4,598
h,970000,2,1,1,194
h,925000,2,1,1,407
h,2650000,4,3,2,753
h,1670000,3,2,2,599
t,955000,3,2,2,203
t,2050000,3,3,4,310
u,500000,2,1,1,710
h,1575000,2,1,2,679
h,1555000,3,2,2,731
h,1100000,3,3,2,276
h,1337000,3,1,2,583
h,2950000,9,7,4,1472
h,2215000,4,2,1,681
h,1518000,3,2,2,516
h,1710000,3,1,2,806
h,1655000,3,1,3,780
h,1550000,4,2,2,780
h,1662000,3,2,2,351
h,1665000,3,2,3,702
h,1445000,2,1,2,704
h,3510000,5,5,2,755
t,968000,3,1,1,227
t,900000,3,2,2,153
h,1500000,3,1,2,545
h,2752000,6,4,2,1075
h,1500000,3,2,2,710
h,1800000,4,2,4,749
h,1830000,3,2,3,724
h,1415000,3,1,1,605
h,1440000,2,1,1,687
t,1250000,4,2,2,321
h,1422000,3,1,2,583
h,1600000,5,3,4,700
h,1860000,4,2,3,696
t,1710000,3,2,2,295
h,1790000,4,2,2,514
h,1950000,4,2,2,844
h,1600000,3,1,2,637
h,1320000,3,1,2,1063
h,1650000,3,1,1,697
h,995000,2,1,1,583
h,1250000,3,1,1,842
u,1045000,3,2,2,467
h,1200000,4,3,2,372
h,1075000,2,1,2,695
h,1500000,2,2,2,621
h,1120000,3,1,2,723
t,700000,2,1,2,367
h,761000,3,2,4,400
h,1270000,4,2,1,724
h,1510000,4,2,2,526
h,1365000,3,1,1,792
h,1100000,3,2,2,803
h,1415000,4,3,2,724
u,690000,2,1,1,216
h,1631000,3,2,3,782
h,1500000,4,2,1,593
h,1060000,2,1,2,772
h,1529500,5,3,2,585
u,600000,2,1,1,153
u,535000,2,1,1,72
h,785000,3,1,1,557
h,1240000,4,2,2,766
u,700000,2,1,2,192
h,1350000,4,2,1,727
h,1110000,2,1,1,586
h,1305000,3,1,1,760
h,855000,3,2,1,320
t,900500,3,2,2,256
h,1200000,3,2,2,839
t,830000,2,1,2,212
h,850000,3,1,1,593
h,750000,3,1,1,0
t,851000,3,3,1,557
h,848000,3,1,2,542
h,806000,4,2,1,350
h,1155000,3,2,2,569
h,670000,3,2,2,671
h,1200000,4,5,4,673
h,636000,2,1,2,571
h,680000,3,1,2,570
h,1160000,4,3,2,789
h,750000,3,1,1,529
h,627500,3,1,1,550
t,880000,3,2,2,339
h,950000,4,3,3,761
h,1600000,4,3,3,1801
t,585000,2,1,1,136
h,650000,3,1,3,574
h,725000,3,1,4,606
u,665000,3,2,1,289
h,560500,3,1,1,177
h,615000,3,1,2,649
h,845000,3,1,3,704
h,585000,3,1,2,322
u,440000,2,1,1,263
h,850000,3,1,2,766
h,850000,5,2,4,574
h,705000,3,1,1,581
h,1100000,4,3,2,873
h,892500,3,1,1,586
h,695000,3,1,2,588
h,522500,2,1,1,220
h,680000,4,2,2,554
u,500000,3,1,1,260
t,550000,2,1,2,158
h,730000,3,2,2,705
h,875000,3,1,3,812
h,850000,3,2,8,585
h,635000,3,1,1,597
h,762000,4,2,2,589
u,411000,2,1,1,0
h,790000,4,2,2,570
h,605000,4,1,0,569
h,805000,3,2,2,593
h,890000,4,2,4,585
h,795000,3,1,1,549
h,634000,4,2,1,582
h,642000,3,1,1,590
h,863000,3,2,3,638
h,740000,3,1,2,607
h,1819000,3,2,1,244
u,410000,2,1,2,0
u,280000,1,1,1,0
t,1015000,2,1,2,114
u,502500,2,1,1,0
u,520000,2,1,0,0
u,442000,2,1,1,0
h,1193000,3,1,1,178
u,416000,2,1,1,0
u,820000,2,1,1,0
u,474000,2,1,1,0
h,981000,2,1,0,159
h,1690000,3,2,2,339
u,540000,2,1,1,483
h,1080000,3,1,1,157
u,500000,1,1,0,0
u,497500,2,0,0,0
h,2100000,2,1,1,659
h,1800000,4,2,2,715
t,1255000,2,1,1,208
u,1070000,3,2,2,206
h,2570000,5,3,2,715
h,2400000,4,2,2,744
h,2200000,3,3,2,651
h,3250000,5,5,2,651
u,806000,2,1,1,122
h,4000000,6,4,7,2051
h,1215000,2,2,2,0
h,2250000,5,3,2,600
u,812000,2,1,1,206
h,1140000,3,2,2,175
h,2330000,3,2,1,853
h,2800000,5,3,2,678
u,605000,2,1,1,0
h,1255000,3,2,2,308
h,1850000,3,1,1,1015
u,805000,3,1,1,209
h,700000,3,1,1,188
h,2130000,4,2,2,664
h,500000,2,1,1,0
h,2125000,3,2,2,699
h,1800000,3,2,2,577
u,635000,2,1,1,0
u,526000,2,1,1,0
h,390000,1,1,1,740
h,905000,3,1,2,281
h,1750000,4,3,2,453
t,760000,2,1,1,121
h,3180000,4,3,4,1148
t,1367000,3,2,2,219
h,3600000,5,3,2,678
h,2550000,5,3,2,642
t,1400000,4,3,2,241
h,3270000,4,2,4,935
u,625000,2,1,1,115
t,700000,2,1,1,104
h,1860000,3,1,4,671
h,2730000,4,3,2,674
h,2020000,5,2,2,611
u,460000,2,1,1,0
h,2250000,3,1,2,832
u,1053000,2,1,2,231
h,1800000,3,2,2,380
t,1472000,3,2,2,306
h,2120000,3,1,2,651
h,1910000,3,1,2,697
u,754000,2,1,1,87
h,3000000,5,5,2,671
h,3400000,5,6,4,739
h,2188000,4,2,2,752
u,755000,2,1,1,213
h,2900000,4,3,2,596
h,3290000,4,3,2,1007
h,2665000,4,3,2,674
h,1801000,4,2,2,583
h,2410000,4,2,1,685
u,650000,2,1,1,0
h,2275000,4,2,1,842
h,2810000,5,3,4,1468
t,1385000,3,2,2,190
h,2000000,3,1,2,739
h,1900000,4,2,1,665
h,3401000,3,2,1,706
h,1750000,3,2,3,613
h,4000000,5,4,3,1437
t,1100000,3,2,1,259
h,3020000,5,3,2,715
h,2950000,4,2,2,650
h,2450000,4,2,2,981
h,1912000,2,1,2,844
u,730000,2,1,1,130
h,3900000,5,7,6,0
h,1500000,3,2,2,404
h,1850000,3,1,1,607
h,1700000,3,1,1,672
h,1010000,2,0,0,1611
t,1315000,3,2,2,260
h,1500000,3,2,1,778
h,3230000,4,4,3,1135
h,1080000,2,1,1,253
h,1350000,7,2,0,942
h,1905000,4,2,2,647
h,3300000,5,4,2,760
h,1900000,4,2,2,642
h,2251000,3,1,2,888
h,2205000,4,2,2,750
h,1265000,3,2,1,347
h,2000000,3,1,3,772
h,1750000,4,2,2,673
h,1450000,3,1,2,665
h,2614000,4,2,2,772
h,1825000,4,2,3,736
h,2550000,4,1,4,847
h,1570000,4,2,1,546
h,3250000,3,4,2,886
h,1750000,4,3,3,667
t,1150000,3,2,1,207
h,1575000,3,2,2,645
h,1505000,4,2,2,724
h,1572000,4,2,2,662
h,1500000,3,2,2,610
t,1400000,4,2,1,283
h,1750000,5,3,2,705
h,1850000,4,2,2,619
h,1480000,3,1,2,992
h,1400000,4,2,2,714
h,2130000,4,3,2,1274
u,1050000,3,2,2,244
h,3690000,4,4,2,624
h,1740000,4,2,2,610
h,2575000,4,3,2,657
h,1388800,3,2,1,517
h,1702000,4,2,2,715
h,1800000,4,2,4,587
h,2910000,4,3,2,1070
h,1400000,2,1,1,694
t,860000,2,2,2,204
h,1670000,4,3,2,689
h,1500000,3,1,1,800
h,2200000,5,3,2,900
h,1350000,4,2,2,815
h,2070000,5,2,1,1138
h,1300000,3,1,2,464
h,1700000,3,2,3,763
h,1750000,2,1,2,854
h,980000,3,1,1,542
h,1230000,3,3,1,310
h,2600000,5,3,3,637
h,1950000,3,3,2,665
h,1750000,5,2,2,710
h,2000000,5,2,2,1002
h,1480000,3,1,4,605
h,3000000,4,3,2,1247
h,1818000,3,1,1,722
h,2170000,4,2,2,1040
h,2525000,4,2,2,1235
h,3360000,4,3,1,904
h,1620000,4,2,1,654
h,1903000,3,1,2,713
h,1712000,3,2,2,639
h,1720000,4,3,2,869
h,1670000,4,1,4,1042
h,1350000,2,1,2,467
h,1675000,4,2,2,667
t,1680000,4,3,1,362
h,1800000,3,1,1,809
h,1550000,4,3,4,707
h,4000000,5,5,4,1364
h,2900000,4,2,2,917
h,2205000,4,2,2,1010
t,1137000,3,2,2,349
h,2100000,3,2,3,949
h,1389000,2,1,4,701
h,685000,2,1,1,177
h,1900000,6,1,6,691
h,1335000,3,2,2,368
h,1600000,3,2,2,760
h,1830000,3,2,2,493
h,1900000,4,2,4,587
h,1500000,5,2,2,605
u,735000,2,1,1,1075
u,1040000,2,1,1,250
h,1520000,3,1,2,622
h,1250000,4,2,2,644
h,1900000,6,3,2,808
h,1875000,5,3,2,842
h,1530000,4,2,2,701
h,1700000,3,2,5,754
t,1238000,3,2,2,186
h,1320000,3,1,0,635
u,560000,2,1,1,0
h,1651000,3,1,2,657
h,1920000,5,3,2,900
h,1560000,5,2,3,845
h,1550000,7,2,0,942
h,1038000,3,2,1,207
h,1660000,4,3,2,737
h,1260000,3,2,2,458
h,2000000,3,1,2,75100
h,2155000,4,2,3,620
h,1225000,3,2,2,282
h,2150000,4,2,2,730
h,1770000,3,2,1,720
u,691500,3,1,1,0
h,1836000,4,2,2,939
u,636000,2,1,2,202
h,1275000,2,1,2,599
u,875000,3,1,2,348
t,895000,3,2,2,362
h,1550000,2,1,4,730
h,1420000,4,1,4,786
h,1425000,3,2,2,613
t,851000,2,1,1,140
h,1222500,3,2,2,299
h,1260000,4,2,2,793
h,2700000,4,3,2,628
t,900000,3,2,1,418
h,1100000,3,2,2,0
h,1005000,7,3,4,607
h,1317500,3,1,1,576
u,360000,2,1,1,0
t,1435000,3,3,2,291
h,1110000,3,1,2,692
h,2435000,3,2,2,795
h,1500000,3,2,1,565
h,1300000,4,2,2,697
h,855000,2,1,1,298
h,1125000,3,1,2,584
h,1135000,3,1,2,627
h,867000,3,2,1,578
h,1328000,3,2,2,610
h,1340000,3,2,1,526
t,1155000,4,3,2,271
h,1275000,3,1,4,758
h,770000,3,2,2,0
h,855000,2,1,1,296
t,1100000,3,2,2,333
u,650000,2,1,1,116
h,1815000,4,2,4,902
h,2255000,4,3,2,557
h,1470000,3,2,2,613
u,420000,2,1,0,1045
u,855000,2,2,3,226
h,1450000,4,1,1,567
h,1200000,3,2,2,590
h,1860000,4,2,3,855
u,725000,2,1,1,227
h,1293000,3,1,1,632
h,1390000,3,1,2,723
h,1400000,3,2,1,699
h,1328000,3,2,2,690
t,1247000,4,2,3,354
h,1311000,3,2,2,592
h,1100000,3,1,2,382
h,1327500,3,1,2,700
h,1560000,4,3,1,695
h,1370000,3,1,2,624
h,1100000,3,1,2,632
h,1385000,4,2,1,576
t,1275000,3,2,2,309
h,1095000,3,2,1,581
u,797500,2,1,2,321
u,725000,2,1,1,677
t,825000,3,2,2,147
t,1235000,3,2,2,0
h,1600000,5,3,2,772
h,1165000,3,1,2,694
h,1355000,4,2,3,591
h,1910000,4,2,4,736
h,1448000,3,2,3,568
u,820000,2,1,3,336
h,895000,3,1,2,0
h,1041000,4,2,1,292
h,1430000,4,2,2,611
h,910000,2,1,2,274
h,2520000,4,4,2,579
h,1350000,3,1,1,617
u,635000,2,1,2,118
h,1280000,3,2,4,587
h,1900000,5,2,2,567
h,1230000,3,1,2,676
h,1150000,4,2,2,384
h,1650000,3,2,2,570
t,670000,2,2,1,123
t,680000,2,1,1,83
t,1320000,4,3,3,346
h,1380000,4,1,2,580
h,1900000,6,3,2,708
h,1535000,2,2,2,572
h,1281000,3,1,5,594
u,1096000,3,2,2,292
h,1385000,5,2,2,664
u,517500,3,1,1,0
t,1245000,4,2,2,345
u,503000,2,1,1,0
h,2620000,4,4,2,579
u,760000,2,1,1,192
u,405000,2,1,1,0
h,1410000,2,1,2,768
t,760000,3,1,2,287
h,825000,2,2,1,176
u,746000,2,1,2,281
u,580000,1,1,1,105
h,1275000,5,2,2,683
h,1206000,3,1,2,603
t,1115000,3,2,2,297
h,1190000,4,2,3,591
h,1270000,4,2,1,0
u,1025000,3,2,2,384
u,740000,3,2,1,258
h,1960000,4,2,4,601
u,495000,2,1,1,76
u,570000,2,1,1,145
h,1220000,3,2,2,585
h,885000,3,1,2,565
t,830000,0,2,2,292
h,1137500,4,1,2,696
h,1100000,4,2,2,633
h,1040000,3,2,2,598
t,1210000,3,3,2,291
t,1160000,3,2,2,321
h,1215000,3,2,3,730
h,1200000,4,2,2,619
h,1050000,3,2,2,627
h,950000,5,2,4,618
u,380000,3,2,1,0
h,689000,2,1,1,169
h,1400000,3,2,2,653
h,965000,3,1,4,574
h,1338000,3,2,2,610
t,800000,3,2,1,353
u,651000,2,1,1,265
h,920000,3,1,3,583
h,1390000,4,2,2,590
u,495000,2,1,1,96
u,370000,1,1,1,0
h,1100000,3,1,2,578
h,1100000,4,2,4,653
h,1355000,0,1,2,818
h,1206000,4,1,1,636
t,486500,2,1,1,0
h,1010000,3,1,1,597
h,899000,3,1,1,583
h,1415000,4,2,2,604
t,1185000,4,2,2,305
t,1060000,4,3,1,313
u,716000,2,1,2,212
h,1550000,3,1,1,581
h,840000,3,2,2,697
h,1110000,3,1,4,612
h,1106000,3,1,2,584
h,845000,3,2,2,295
t,860000,3,2,1,254
h,1208000,3,1,1,747
t,921000,3,2,2,167
h,1165000,3,1,1,732
h,1270000,3,1,2,694
h,742500,2,1,1,300
h,920000,3,2,2,578
h,1307000,3,2,4,684
h,1010000,4,1,2,658
h,702000,2,1,1,591
h,813000,2,1,1,306
t,805000,3,2,1,268
h,880000,2,1,3,660
h,1100000,4,2,1,274
h,1085000,3,2,4,710
t,920000,3,2,1,343
h,1050000,3,1,4,726
h,1560000,3,1,2,841
h,800000,4,2,2,601
h,722000,2,2,1,201
h,930000,3,1,2,588
h,921000,3,2,1,291
h,1035000,3,1,2,610
u,720000,3,2,1,228
h,1185000,3,1,2,618
h,1352000,4,2,2,618
t,1005000,4,2,2,296
u,761000,2,1,2,282
h,1600000,4,2,2,659
h,1200000,3,1,1,721
h,780000,3,2,2,421
t,1250000,4,2,2,314
h,750000,3,2,1,337
h,1300000,3,1,4,746
h,1475000,5,2,2,729
h,1110000,4,2,2,583
u,835000,2,2,1,362
h,1690000,4,2,2,700
u,791000,3,3,1,391
h,900000,3,1,3,780
h,1189000,4,2,2,337
t,825000,3,1,1,642
t,1030000,3,2,2,327
t,970000,3,2,2,267
h,930000,3,1,2,580
h,1510000,4,2,2,640
t,1240000,3,2,2,518
h,823000,3,2,2,213
h,1310000,4,2,2,606
h,1475000,4,2,2,674
t,950000,4,2,1,450
t,1045000,4,2,1,316
h,750000,3,2,1,188
u,800000,3,2,2,252
u,655000,2,1,1,154
h,1550000,5,3,2,623
h,835000,3,1,1,250
h,1140000,4,1,3,701
h,1120000,3,1,2,678
t,1465000,3,2,2,319
h,910000,3,1,1,587
u,920000,3,2,1,388
t,935000,3,2,2,230
h,977000,3,1,2,543
h,1352000,3,1,2,686
h,1115000,4,2,2,575
h,780000,3,1,1,710
h,1115000,3,2,2,1080
h,1197000,3,1,2,692
u,485000,2,2,2,0
u,810000,3,2,1,316
h,1365000,4,1,1,582
h,700000,0,0,0,456
h,1698888,4,2,2,598
h,1150000,4,2,2,639
u,340000,2,1,1,0
h,1000000,3,1,2,576
t,965000,3,2,1,283
u,870000,3,2,2,365
h,1405000,3,1,1,764
h,1161000,3,2,3,629
h,1266000,3,1,3,676
t,700000,3,2,2,194
t,1325000,4,4,2,363
u,770000,3,2,1,281
h,1110000,3,1,6,542
u,380000,1,1,1,0
h,1175000,4,2,2,620
h,1200000,3,1,1,640
h,1370000,4,1,2,684
h,1433500,4,1,1,725
h,1630000,2,1,2,724
h,1360000,3,1,3,676
h,900000,3,1,2,741
t,860000,3,2,1,210
u,772500,2,1,2,318
h,1001000,3,1,1,598
u,715000,2,1,1,194
h,801000,3,1,1,0
t,882000,3,2,2,208
h,1180000,2,1,1,687
t,840000,3,2,2,222
h,710000,2,1,1,0
h,1040000,4,2,2,643
h,1550000,5,3,2,583
h,930000,3,2,2,258
u,790000,3,1,2,406
h,1040000,3,1,2,625
h,1020000,3,1,2,596
t,670000,3,1,2,233
u,800000,3,2,2,261
t,1120000,3,2,2,209
t,970000,3,2,2,321
t,787500,3,2,1,300
h,950000,3,1,1,598
h,886000,3,2,1,185
t,780000,3,2,1,209
h,1015000,4,2,3,625
u,830000,3,2,2,395
h,1241000,3,1,1,643
h,1255000,4,2,2,610
h,1320000,3,1,1,593
h,870000,3,2,1,326
h,1472500,4,2,2,592
h,640000,2,2,2,298
h,1160000,2,1,2,750
h,1306000,3,2,1,651
h,1291000,3,1,2,635
h,1620000,4,2,2,697
u,645000,2,1,1,140
u,790000,2,1,1,195
h,880000,4,2,2,206
h,1560000,3,2,3,729
h,1715000,3,2,2,458
h,1200000,3,1,2,550
h,1760000,3,1,0,741
u,288000,1,1,1,774
h,948000,3,1,2,384
h,2770000,4,1,2,715
h,1412000,3,1,1,590
u,465000,2,2,1,0
t,975000,4,2,2,299
h,1325000,3,1,1,702
t,750000,3,2,1,150
h,1400000,3,2,1,643
h,1500000,3,1,2,664
h,1600000,4,2,1,692
u,616000,3,1,1,155
h,1661000,4,2,2,729
h,1461400,3,2,2,780
u,775000,3,1,1,211
h,1506000,4,2,3,669
h,1670000,4,4,4,707
u,340000,1,1,1,29
h,4000000,3,1,2,763
h,928000,3,1,1,307
u,761000,2,2,1,176
u,636000,2,1,1,151
h,1625000,4,2,2,620
h,1430000,4,2,0,585
h,836000,3,1,2,228
u,400000,2,1,1,0
h,1170000,3,1,1,755
h,1670000,4,2,2,590
h,1351000,3,1,2,662
h,857000,4,1,1,492
t,822500,3,2,1,238
u,560000,2,1,1,153
u,420000,2,1,1,0
h,870000,3,2,4,700
h,645000,2,1,1,566
t,502000,3,1,1,220
u,495000,3,2,1,327
h,660000,3,1,0,580
h,868000,2,1,4,749
h,645000,4,2,1,283
h,652000,3,2,1,216
h,850000,4,2,2,606
h,570500,3,1,1,471
h,575000,3,1,3,559
h,882000,4,2,2,393
h,730000,3,2,2,544
h,670000,2,1,2,551
h,585000,3,2,2,631
h,826000,2,1,2,667
