Type,Method,Regionname,Habitaciones,Banos,Propiedad
h,S,Northern Metropolitan,4,2,571
u,S,Northern Metropolitan,2,1,116
u,S,Eastern Metropolitan,2,1,190
u,S,Eastern Metropolitan,2,1,0
u,S,Southern Metropolitan,2,1,0
u,S,Southern Metropolitan,2,1,0
h,S,Northern Metropolitan,3,1,614
h,S,Southern Metropolitan,3,1,198
h,S,Eastern Metropolitan,3,1,392
h,S,Southern Metropolitan,3,1,700
h,S,Southern Metropolitan,5,3,778
h,S,Northern Metropolitan,4,1,697
h,S,Southern Metropolitan,2,1,768
h,S,Northern Metropolitan,3,2,590
h,S,Eastern Metropolitan,3,2,710
h,PI,Southern Metropolitan,4,1,903
u,S,Northern Metropolitan,2,1,0
h,S,Northern Metropolitan,2,1,259
h,S,Southern Metropolitan,3,2,354
u,PI,Northern Metropolitan,1,1,0
h,PI,Southern Metropolitan,4,3,380
h,S,Southern Metropolitan,4,2,618
h,S,Northern Metropolitan,3,1,708
u,S,Eastern Metropolitan,2,1,217
h,S,Southern Metropolitan,4,2,687
h,PI,Southern Metropolitan,3,1,404
u,PI,Northern Metropolitan,2,2,0
h,S,Northern Metropolitan,2,1,487
u,PI,Southern Metropolitan,2,1,1540
h,S,Southern Metropolitan,3,1,737
h,S,Eastern Metropolitan,5,5,729
h,S,Southern Metropolitan,2,1,249
h,S,Northern Metropolitan,2,1,491
h,S,Northern Metropolitan,2,1,0
u,S,Southern Metropolitan,2,2,0
u,PI,Southern Metropolitan,2,1,0
u,S,Northern Metropolitan,2,1,0
h,S,Northern Metropolitan,3,1,9405
u,S,Northern Metropolitan,2,1,149
h,S,Northern Metropolitan,3,3,265
h,S,Southern Metropolitan,3,2,735
h,S,Southern Metropolitan,4,2,794
u,S,Southern Metropolitan,2,2,0
u,S,Northern Metropolitan,2,1,106
u,S,Northern Metropolitan,1,1,0
u,S,Southern Metropolitan,2,2,586
h,S,Southern Metropolitan,2,1,427
h,S,Southern Metropolitan,3,2,656
u,S,Northern Metropolitan,2,1,0
h,S,Northern Metropolitan,3,2,743
u,S,Northern Metropolitan,3,2,0
u,S,Northern Metropolitan,1,1,1332
h,S,Southern Metropolitan,4,2,334
h,S,Eastern Metropolitan,3,2,548
h,S,Northern Metropolitan,3,1,360
h,S,Southern Metropolitan,4,2,678
h,S,Northern Metropolitan,2,1,746
h,S,Northern Metropolitan,3,2,452
h,S,Northern Metropolitan,2,1,199
h,S,Northern Metropolitan,3,1,216
h,S,Southern Metropolitan,4,3,160
h,S,Eastern Metropolitan,3,2,509
u,S,Southern Metropolitan,2,1,0
h,S,Northern Metropolitan,2,1,356
h,S,Southern Metropolitan,2,1,316
h,S,Northern Metropolitan,4,2,760
h,S,Northern Metropolitan,2,1,650
h,S,Northern Metropolitan,4,2,191
h,S,Southern Metropolitan,4,2,831
h,PI,Southern Metropolitan,3,2,577
u,S,Southern Metropolitan,1,1,0
h,S,Eastern Metropolitan,3,2,714
h,S,Southern Metropolitan,4,2,807
h,PI,Northern Metropolitan,5,5,199
h,S,Southern Metropolitan,2,1,157
h,PI,Southern Metropolitan,4,2,663
h,PI,Eastern Metropolitan,3,1,1285
h,S,Northern Metropolitan,5,2,877
u,S,Northern Metropolitan,2,2,0
h,S,Northern Metropolitan,2,1,99
h,S,Northern Metropolitan,3,2,259
u,S,Southern Metropolitan,1,1,0
h,S,Northern Metropolitan,3,1,220
h,S,Northern Metropolitan,4,1,548
h,S,Southern Metropolitan,3,2,87
h,S,Southern Metropolitan,3,0,0
u,S,Northern Metropolitan,3,2,122
u,PI,Southern Metropolitan,2,1,0
h,S,Northern Metropolitan,2,1,100
h,S,Eastern Metropolitan,3,1,668
h,S,Eastern Metropolitan,2,2,336
h,PI,Eastern Metropolitan,3,2,562
h,S,Northern Metropolitan,3,1,756
h,PI,Northern Metropolitan,4,1,390
h,S,Southern Metropolitan,4,1,732
h,S,Southern Metropolitan,3,1,554
h,PI,Southern Metropolitan,3,2,649
u,S,Northern Metropolitan,2,2,208
h,S,Northern Metropolitan,2,1,378
h,S,Northern Metropolitan,4,2,479
u,S,Southern Metropolitan,3,2,261
h,S,Southern Metropolitan,3,1,688
h,PI,Northern Metropolitan,4,2,616
h,S,Northern Metropolitan,4,1,177
h,S,Northern Metropolitan,3,1,719
h,S,Northern Metropolitan,3,1,1020
h,S,Northern Metropolitan,2,1,146
u,S,Southern Metropolitan,2,1,1037
h,S,Southern Metropolitan,5,3,545
h,S,Northern Metropolitan,2,1,705
h,S,Northern Metropolitan,3,1,341
h,S,Eastern Metropolitan,3,1,762
h,S,Southern Metropolitan,4,2,553
u,PI,Northern Metropolitan,2,2,0
u,S,Northern Metropolitan,2,1,0
u,S,Southern Metropolitan,1,1,0
h,PI,Northern Metropolitan,3,1,751
h,S,Southern Metropolitan,2,1,342
h,S,Eastern Metropolitan,3,2,0
h,S,Northern Metropolitan,3,1,470
u,S,Southern Metropolitan,2,1,84
h,S,Southern Metropolitan,3,2,446
u,S,Southern Metropolitan,1,1,0
h,S,Northern Metropolitan,4,1,588
h,S,Northern Metropolitan,2,1,182
h,S,Eastern Metropolitan,3,1,679
u,S,Northern Metropolitan,1,1,0
h,S,Northern Metropolitan,3,2,515
h,S,Southern Metropolitan,3,1,602
h,S,Northern Metropolitan,3,1,251
u,S,Southern Metropolitan,2,1,0
h,S,Southern Metropolitan,5,4,788
h,S,Northern Metropolitan,2,1,537
h,S,Northern Metropolitan,2,1,164
u,S,Northern Metropolitan,1,1,0
h,S,Northern Metropolitan,3,1,620
u,S,Southern Metropolitan,2,2,245
h,S,Northern Metropolitan,3,1,277
h,S,Southern Metropolitan,3,2,674
h,S,Southern Metropolitan,5,2,1002
h,S,Southern Metropolitan,3,1,786
